Galway West;Eamon  O CuIv;M;F.F.;9539
Dublin Mid West;Clare Leonard;F;NON-P.;358
Cork  East;Ciara Leonardi-Roche;F;AAA-PBP;1999
Cork  East;Mary Linehan-Foley;F;NON-P.;3145
Wexford;David Lloyd;M;D.D.I.;128
Tipperary;Michael Lowry;M;NON-P.;13064
Cork South Central;Ciaran Lynch;M;LAB.;2417
Dublin Bay South;Glenna Lynch;F;S.D.;2652
Clare;Ian Lynch;M;NON-P.;1494
Cork North Central;Kathleen Lynch;F;LAB.;3723
Dublin Bay North;John Lyons;M;AAA-PBP;4409
Dublin North West;John Lyons;M;LAB.;2750
Carlow Kilkenny;Conor Mac Liam;M;AAA-PBP;1120
Sligo Leitrim;Chris Mac Manus;M;S.F.;4747
Dublin Bay North;MIcheal Macdonncha;M;S.F.;3527
Donegal;Padraig MacLochlainn;M;S.F.;5742
Sligo Leitrim;Marc MacSharry;M;F.F.;8856
Dublin Bay South;Alan Macstiofain;M;NON-P.;235
Dublin Rathdown;Josepha Madigan;F;F.G.;6668
Longford Westmeath;Manchan Magan;M;G.P.;1102
Meath West;John Malone;M;NON-P.;439
Wexford;David Maloney;M;NON-P.;476
Dublin South West;Eamonn Maloney;M;NON-P.;1627
Cork North West;Cormac ManNing;M;G.P.;1354
Carlow Kilkenny;Paddy ManNing;M;NON-P.;1078
Mayo;Stephen ManNing;M;NON-P.;157
Dublin Fingal;Barry Martin;M;I.4.C;2412
Dublin Rathdown;Catherine Martin;F;G.P.;4122
Cork South Central;Micheal Martin;M;F.F.;11346
Dublin Rathdown;Peter Mathews;M;NON-P.;2021
Wicklow;Steven Matthews;M;G.P.;1350
Dublin North West;Paul Mcauliffe;M;F.F.;4750
Donegal;Frank McBrearty;M;NON-P.;1914
Cork  East;Kieran McCarthy;M;NON-P.;1635
Cork South West;Michael McCarthy;M;LAB.;3035
Cork  East;Noel McCarthy;M;F.G.;4406
Cork South West;Rachel McCarthy;F;S.F.;3656
Donegal;Charlie McConalogue;M;F.F.;12533
Cavan Monaghan;Michael McDermott;M;D.D.I.;475
Clare;Michael Malty McDonagh;M;F.F.;4726
Meath East;Seamus McDonagh;M;W.P.;326
Dublin Central;Mary Lou McDonald;F;S.F.;5770
Meath West;Tracy McElhinney;F;LAB.;1166
Kildare South;Suzanne McEneaney;F;G.P.;836
Meath East;Helen McEntee;F;F.G.;7556
Longford Westmeath;Gabrielle McFadden;F;F.G.;2836
Donegal;Ian McGarvey;M;NON-P.;982
Dublin Bay North;FiNian McGrath;M;NON-P.;5878
Tipperary;Mattie McGrath;M;NON-P.;11237
Cork South Central;Michael McGrath;M;F.F.;11795
Dublin West;David McGuinness;M;NON-P.;2991
Carlow Kilkenny;John McGuinness;M;F.F.;10528
Donegal;Joe McHugh;M;F.G.;8412
Dublin Central;Cormac McKay;M;D.D.I.;62
Dublin North West;Cormac McKay;M;D.D.I.;158
Carlow Kilkenny;Patrick McKee;M;R.I.;2483
Longford Westmeath;Noel McKervey;M;C.D.;654
Sligo Leitrim;Tony McLoughlin;M;F.G.;6172
Kildare South;Fiona McLoughlin Healy;F;F.G.;3250
Dublin South West;Ronan McMahon;M;R.I.;2906
Meath West;SEamus McMenamin;M;G.P.;1421
Dublin Mid West;Anne-Marie McNally;F;S.D.;2633
Clare;Michael McNamara;M;LAB.;4472
Cavan Monaghan;James Mee;M;NON-P.;88
Galway East;Aengus Melia;M;D.D.I.;489
Kildare North;Ashling Merriman;F;AAA-PBP;781
Longford Westmeath;James Miller;M;NON-P.;208
Dublin Bay North;DeNise Mitchell;F;S.F.;5039
Dun Laoghaire;Mary Mitchell O''Connor;F;F.G.;10817
Cork South Central;Michael Joseph Mohally;M;NON-P.;170
Dublin Fingal;Dr. Gerry Molloy;M;R.I.;2091
Dublin Bay South;Annette Mooney;F;AAA-PBP;1728
Donegal;Michael Mooney;M;NON-P.;397
Laois;Sinead Moore;F;G.P.;1541
Longford Westmeath;Kevin ''Boxer'' Moran;M;NON-P.;7586
Louth;Mary Moran;F;LAB.;1198
Clare;Noeleen Moran;F;S.F.;4216
Cork North Central;Oliver Moran;M;G.P.;1693
Mayo;Tom Moran;M;AAA-PBP;576
Longford Westmeath;James Morgan;M;NON-P.;3329
Kerry;Norma Moriarty;F;F.F.;4348
Tipperary;SEamus SEan Morris;M;S.F.;5724
Cork North West;Aindrias MoyNihan;M;F.F.;8924
Cork North West;Michael MoyNihan;M;F.F.;7332
Mayo;Michelle Mulherin;F;F.G.;7841
Clare;Dermot Mulqueen;M;NON-P.;39
Louth;Imelda Munster;F;S.F.;8829
Carlow Kilkenny;JenNifer Murnane-O''Connor;F;F.F.;8373
Kildare North;Catherine Murphy;F;S.D.;11108
Cork North Central;Dara Murphy;M;F.G.;5264
Dublin Bay South;Eoghan Murphy;M;F.G.;6567
Roscommon Galway;Eugene Murphy;M;F.F.;6813
Kerry;Kevin Murphy;M;NON-P.;464
Tipperary;Marie Murphy;F;F.G.;1542
Cork North Central;Mick Murphy;M;NON-P.;215
Dublin South West;Paul Murphy;M;AAA-PBP;9005
Dublin Fingal;Tony Murphy;M;NON-P.;2503
Cork South West;Margaret Murphy O''Mahony;F;F.F.;8482
Sligo Leitrim;Eamon Murray;M;NON-P.;356
Dublin South Central;Richard Murray;M;NON-P.;294
Wexford;John Mythen;M;S.F.;7260
Louth;Ged Nash;M;LAB.;4945
Roscommon Galway;DeNis Naughten;M;NON-P.;13936
Galway West;Hildegarde Naughton;F;F.G.;4567
Limerick County;Tom Neville;M;F.G.;8013
Galway East;Mairead Ni ChroiNin;F;G.P.;769
Kildare North;Maebh Ni Fhalluin;F;G.P.;1485
Dublin Rathdown;Sorcha Nic Cormaic;F;S.F.;2858
Donegal;Cordelia NicFhearraigh;F;F.N.;70
Offaly;Carol Nolan;F;S.F.;4804
Galway West;Derek Nolan;M;LAB.;3220
Carlow Kilkenny;Malcolm Noonan;M;G.P.;2621
Limerick City;Michael Noonan;M;F.G.;7294
Dublin West;Catherine Noone;F;F.G.;1074
Clare;Ann Norton;F;NON-P.;2240
Dublin Mid West;Eoin O Broin;M;S.F.;9782
Meath East;Sean O Buachalla;M;G.P.;766
Cork South Central;Diarmaid O Cadhla;M;NON-P.;869
Cavan Monaghan;CaoimhghIn O Caolain;M;S.F.;10060
Kildare South;Sean O FearghaIl;M;F.F.;6469
Dublin South Central;OisIn O Halmhain;M;G.P.;1410
Cork South Central;Donnchadh Uinseann O Laoghaire;M;S.F.;6986
Galway West;John O Mahony;M;F.G.;4734
Dublin Bay North;Naoise O MuirI;M;F.G.;2868
Dublin Bay North;Aodhan O RIordain;M;LAB.;5675
Dublin South Central;Aengus O Snodaigh;M;S.F.;6639
Galway West;Niall O Tuathail;M;S.D.;3455
Cork North West;Michael O'' Donnell;M;C.P.I.;185
Cork South West;Johnny O'' Mahony;M;G.P.;752
Mayo;Gerry O''Boyle;M;NON-P.;126
Dublin Fingal;Darragh O''Brien;M;F.F.;10826
Limerick County;Emmett O''Brien;M;NON-P.;5432
Dublin West;Jo O''Brien;F;R.I.;677
Dublin Fingal;Joe O''Brien;M;G.P.;2783
Cork North Central;Jonathan O''Brien;M;S.F.;6231
Dublin Bay North;Michael O''Brien;M;AAA-PBP;2236
Clare;Niamh O''Brien;F;F.N.;1154
Dun Laoghaire;Shane O''Brien;M;S.F.;3167
Dublin Bay North;Cian O''Callaghan;M;S.D.;3864
Dublin Bay South;Jim O''Callaghan;M;F.F.;4575
Dublin Bay North;Proinsias O''Conarain;M;NON-P.;104
Cavan Monaghan;Aoife O''Connell;F;D.D.I.;279
Dublin Fingal;Fergal O''Connell;M;NON-P.;51
Cork South Central;Jim O''Connell;M;AAA-PBP;795
Dublin Bay South;Kate O''Connell;F;F.G.;5399
Limerick City;Willie O''Dea;M;F.F.;12999
Kerry;Grace O''Donnell;F;F.G.;776
Limerick City;Kieran O''Donnell;M;F.G.;6047
Limerick County;Richard O''Donoghue;M;NON-P.;2855
Dublin South West;Deirdre O''Donovan;F;NON-P.;2197
Limerick County;Patrick O''Donovan;M;F.G.;8479
Louth;Fergus O''Dowd;M;F.G.;6814
Louth;Michael O''Dowd;M;R.I.;2095
Dublin Central;Diana O''Dwyer;F;AAA-PBP;721
Cork North West;Diarmuid O''Flynn;M;NON-P.;2159
Dublin South West;Frank O''Gorman;M;NON-P.;59
Limerick County;John O''Gorman;M;NON-P.;207
Kerry;Michael Pixie O''Gorman;M;NON-P.;1236
Dublin West;Roderic O''Gorman;M;G.P.;1730
Sligo Leitrim;BerNie O''Hara;F;NON-P.;1206
Sligo Leitrim;Leslie V. John O''Hora;M;G.P.;603
Cork  East;Kevin O''Keeffe;M;F.F.;8264
Sligo Leitrim;Susan O''Keeffe;F;LAB.;1829
Cork North Central;Julie O''Leary;F;F.G.;3841
Cork North Central;Paddy O''Leary;M;R.I.;1120
Kildare South;Fiona O''Loughlin;F;F.F.;6906
Cork North Central;Peter O''Loughlin;M;NON-P.;183
Mayo;George O''Malley;M;NON-P.;262
Meath East;Aisling O''Neill;F;S.D.;1715
Dublin Bay North;Damien O''Neill;M;NON-P.;1446
Galway West;RuairI O''Neill;M;D.D.I.;152
Cavan Monaghan;Joe O''Reilly;M;F.G.;6566
Dublin Fingal;Louise O''Reilly;F;S.F.;5228
Cork North West;Steven O''Riordan;M;NON-P.;1361
Meath East;Darren O''Rourke;M;S.F.;5780
Kildare North;Frank O''Rourke;M;F.F.;6341
Sligo Leitrim;Paddy O''Rourke;M;F.F.;5447
Cork North West;John Paul O''Shea;M;NON-P.;4814
Kildare North;Elizabeth O''Sullivan;F;NON-P.;99
Waterford;Grace O''Sullivan;F;G.P.;2237
Limerick City;Jan O''Sullivan;F;LAB.;5227
Cork North West;Jerry O''Sullivan;M;NON-P.;478
Dublin Central;Maureen O''Sullivan;F;NON-P.;1990
Longford Westmeath;DomiNic Parker;M;AAA-PBP;506
Longford Westmeath;Willie Penrose;M;LAB.;4817
Dublin Central;Cieran Perry;M;NON-P.;1242
Sligo Leitrim;John Perry;M;F.G.;4403
Cork South West;Fiona Pettit O''leary;F;NON-P.;423
Carlow Kilkenny;Ann Phelan;F;LAB.;4391
Carlow Kilkenny;John Paul Phelan;M;F.G.;7568
Cork South West;Gillian Powell;F;NON-P.;701
Dublin Bay North;Averil Power;F;NON-P.;4911
Waterford;Mailo Power;F;R.I.;862
Limerick City;Cian Prendiville;M;AAA-PBP;4584
Donegal;Thomas Pringle;M;NON-P.;6220
Dublin South West;Kieran Adam Quigley;M;NON-P.;317
Waterford;Edward Quilty;M;D.D.I.;194
Limerick City;Maurice Quinlivan;M;S.F.;5894
Galway East;Anne Rabbitte;F;F.F.;6928
Dublin Bay North;StephaNie Bernadette Regan;F;F.G.;1857
Dublin Fingal;James Reilly;M;F.G.;4666
Cavan Monaghan;Kathryn Reilly;F;S.F.;6066
Sligo Leitrim;Gerard Reynolds;M;F.G.;6672
Mayo;Michael Ring;M;F.G.;11275
Limerick City;DeNis Riordan;M;NON-P.;78
Galway East;Annemarie Roche;F;S.F.;2683
Dublin North West;Noel Rock;M;F.G.;4642
Galway West;Tommy Roddy;M;NON-P.;251
Dublin Rathdown;Shane Ross;M;NON-P.;10202
Dublin Fingal;Brendan Ryan;M;LAB.;6009
Dublin Bay South;Eamon Ryan;M;G.P.;4529
Dublin Central;Eilis Ryan;F;W.P.;303
Cork South Central;Fiona Ryan;F;AAA-PBP;937
Kildare South;Patricia Ryan;F;S.F.;4267
Offaly;Teresa Ryan-Feehan;F;NON-P.;603
Sligo Leitrim;Eamon Scanlon;M;F.F.;5874
Longford Westmeath;Mae Sexton;F;NON-P.;1646
Dublin Rathdown;Alan Shatter;M;F.G.;5905
Mayo;Margaret (Mags) Sheehan;F;G.P.;629
Donegal;Dessie Sheils;M;NON-P.;3724
Galway West;SEamus Sheridan;M;G.P.;1588
Cork  East;Sean Sherlock;M;LAB.;6949
Dublin North West;ROisIn Shortall;F;S.D.;10540
Dublin South West;Stephen Sinclair;M;D.D.I.;359
Clare;Andres Siro Hakizimana;M;NON-P.;70
Cavan Monaghan;Brendan Smith;M;F.F.;8775
Dublin South Central;BrId Smith;F;AAA-PBP;4374
Cavan Monaghan;Emmett Smith;M;NON-P.;245
Clare;Fergal Smith;M;G.P.;1700
Tipperary;Michael Smith;M;F.F.;6718
Offaly;Ken Smollen;M;I.D.P.;971
Longford Westmeath;Barbara Smyth;F;NON-P.;296
Dun Laoghaire;Carrie Smyth;F;LAB.;5192
Dublin Central;Ian Noel Smyth;M;G.P.;644
Cavan Monaghan;Mary Smyth;F;NON-P.;1589
Cavan Monaghan;Niamh Smyth;F;F.F.;6268
Dun Laoghaire;Ossian Smyth;M;G.P.;3478
Kerry;Arthur J. Spring;M;LAB.;4813
Kildare North;Emmet Stagg;M;LAB.;4087
Laois;Brian Stanley;M;S.F.;8242
Cork  East;David Stanton;M;F.G.;7171
Limerick County;Alexander Storey-Cosgrave;M;G.P.;311
Dublin South West;Joan Summerville-Molloy;F;NON-P.;112
Sligo Leitrim;Bernard Sweeney;M;NON-P.;129
Dublin Bay South;Eoin Tierney;M;NON-P.;151
Wicklow;Billy Timmins;M;R.I.;5510
Dublin Mid West;Francis Timmons;M;NON-P.;1085
Meath West;Peadar TOibIn;M;S.F.;9442
Longford Westmeath;Robert Troy;M;F.F.;11653
Dublin Mid West;Joanna Tuffy;F;LAB.;2146
Cork North Central;Ted Tynan;M;W.P.;1419
Meath East;Sarah Tyrrell;F;R.I.;523
Dublin West;Leo Varadkar;M;F.G.;8247
Wexford;Deirdre Wadding;F;AAA-PBP;1472
Kildare South;Mark Wall;M;LAB.;4277
Carlow Kilkenny;Adrienne Wallace;F;AAA-PBP;1582
Wexford;Mick Wallace;M;I.4.C;7917
Wexford;Ann Walsh;F;G.P.;1056
Waterford;John D Walsh;M;NON-P.;858
Carlow Kilkenny;Noel G. Walsh;M;NON-P.;164
Dublin South West;Karen Warren;F;F.G.;1088
Louth;Garrett Weldon;M;AAA-PBP;3462
Laois;John Whelan;M;LAB.;2856
Dublin Rathdown;Alex White;M;LAB.;4048
Dublin Rathdown;Mary White;F;F.F.;4220
Dun Laoghaire;Raymond Whitehead;M;D.D.I.;213
Cavan Monaghan;John Wilson;M;NON-P.;1023
Louth;Maeve Yore;F;NON-P.;2746
Kildare North;Brendan Young;M;NON-P.;1200
Dublin South West;Katherine Zappone;F;NON-P.;4463
